Full Name,Family,Epochs,Accuracy,Fair Human Score
Dynamic Boost (Exp 4b) - 50ep,Dynamic Boost (Exp 4b),50ep,91.59999489784241,5.650000095367432
Dynamic Basic (Exp 4a) - 300ep,Dynamic Basic (Exp 4a),300ep,93.30999851226807,5.500000476837158
Probe (Teacher),Probe,Teacher,91.92000031471252,5.483333587646484
Baseline (Exp 1) - 50ep,Baseline (Exp 1),50ep,91.92000031471252,5.483333587646484
Capped 0.8 (Exp 5a) - 300ep,Capped 0.8 (Exp 5a),300ep,92.21999645233154,5.450000286102295
Swap 0.8 (Exp 5b) - 300ep,Swap 0.8 (Exp 5b),300ep,92.21999645233154,5.450000286102295
Capped 0.95 (Exp 5a) - 300ep,Capped 0.95 (Exp 5a),300ep,92.36999750137329,5.433333396911621
Swap 0.95 (Exp 5b) - 300ep,Swap 0.95 (Exp 5b),300ep,92.36999750137329,5.433333396911621
Swap 0.6 (Exp 5b) - 50ep,Swap 0.6 (Exp 5b),50ep,87.70999908447266,5.400000095367432
Capped 0.6 (Exp 5a) - 50ep,Capped 0.6 (Exp 5a),50ep,87.70999908447266,5.400000095367432
Swap 0.6 (Exp 5b) - 300ep,Swap 0.6 (Exp 5b),300ep,92.36999750137329,5.383333683013916
Capped 0.6 (Exp 5a) - 300ep,Capped 0.6 (Exp 5a),300ep,92.36999750137329,5.383333683013916
Dynamic Basic (Exp 4a) - 50ep,Dynamic Basic (Exp 4a),50ep,91.60999655723572,5.366666793823242
Swap 0.8 (Exp 5b) - 50ep,Swap 0.8 (Exp 5b),50ep,88.23999762535095,5.350000381469727
Capped 0.8 (Exp 5a) - 50ep,Capped 0.8 (Exp 5a),50ep,88.23999762535095,5.350000381469727
Static WMSE (Exp 3b) - 50ep,Static WMSE (Exp 3b),50ep,91.8500006198883,5.300000190734863
Static KL (Exp 3a) - 300ep,Static KL (Exp 3a),300ep,93.47999691963196,5.266666889190674
Baseline (Exp 1) - 300ep,Baseline (Exp 1),300ep,93.32999587059021,5.250000476837158
SBLS (Exp 2) - 50ep,SBLS (Exp 2),50ep,91.78999662399292,5.250000476837158
Static KL (Exp 3a) - 50ep,Static KL (Exp 3a),50ep,91.88999533653259,5.233333587646484
Dynamic Boost (Exp 4b) - 300ep,Dynamic Boost (Exp 4b),300ep,93.58999729156494,5.200000286102295
Capped 0.95 (Exp 5a) - 50ep,Capped 0.95 (Exp 5a),50ep,89.65999484062195,5.183333396911621
Swap 0.95 (Exp 5b) - 50ep,Swap 0.95 (Exp 5b),50ep,89.65999484062195,5.183333396911621
Static WMSE (Exp 3b) - 300ep,Static WMSE (Exp 3b),300ep,93.35999488830566,5.066667079925537
SBLS (Exp 2) - 300ep,SBLS (Exp 2),300ep,93.80999803543091,5.016666889190674
