Full Name,Family,Epochs,Standard Accuracy (%),Weighted Human Score (0-10)
SBLS (Exp 2) - 300ep,SBLS (Exp 2),300ep,93.80999803543091,9.74959945678711
Static KL (Exp 3a) - 300ep,Static KL (Exp 3a),300ep,93.47999691963196,9.740099906921387
Dynamic Boost (Exp 4b) - 300ep,Dynamic Boost (Exp 4b),300ep,93.58999729156494,9.73699951171875
Baseline (Exp 1) - 300ep,Baseline (Exp 1),300ep,93.32999587059021,9.730199813842773
Static WMSE (Exp 3b) - 300ep,Static WMSE (Exp 3b),300ep,93.35999488830566,9.728599548339844
Dynamic Basic (Exp 4a) - 300ep,Dynamic Basic (Exp 4a),300ep,93.30999851226807,9.726799964904785
Capped 0.6 (Exp 5a) - 300ep,Capped 0.6 (Exp 5a),300ep,92.36999750137329,9.703299522399902
Swap 0.6 (Exp 5b) - 300ep,Swap 0.6 (Exp 5b),300ep,92.36999750137329,9.703299522399902
Capped 0.95 (Exp 5a) - 300ep,Capped 0.95 (Exp 5a),300ep,92.36999750137329,9.69469928741455
Swap 0.95 (Exp 5b) - 300ep,Swap 0.95 (Exp 5b),300ep,92.36999750137329,9.69469928741455
Swap 0.8 (Exp 5b) - 300ep,Swap 0.8 (Exp 5b),300ep,92.21999645233154,9.690400123596191
Capped 0.8 (Exp 5a) - 300ep,Capped 0.8 (Exp 5a),300ep,92.21999645233154,9.690400123596191
Static KL (Exp 3a) - 50ep,Static KL (Exp 3a),50ep,91.88999533653259,9.675999641418457
Dynamic Boost (Exp 4b) - 50ep,Dynamic Boost (Exp 4b),50ep,91.59999489784241,9.675700187683105
Dynamic Basic (Exp 4a) - 50ep,Dynamic Basic (Exp 4a),50ep,91.60999655723572,9.672100067138672
SBLS (Exp 2) - 50ep,SBLS (Exp 2),50ep,91.78999662399292,9.66879940032959
Static WMSE (Exp 3b) - 50ep,Static WMSE (Exp 3b),50ep,91.8500006198883,9.667799949645996
Baseline (Exp 1) - 50ep,Baseline (Exp 1),50ep,91.92000031471252,9.664299964904785
Probe (Teacher),Probe,Teacher,91.92000031471252,9.664299964904785
Swap 0.95 (Exp 5b) - 50ep,Swap 0.95 (Exp 5b),50ep,89.65999484062195,9.59529972076416
Capped 0.95 (Exp 5a) - 50ep,Capped 0.95 (Exp 5a),50ep,89.65999484062195,9.59529972076416
Swap 0.6 (Exp 5b) - 50ep,Swap 0.6 (Exp 5b),50ep,87.70999908447266,9.544099807739258
Capped 0.6 (Exp 5a) - 50ep,Capped 0.6 (Exp 5a),50ep,87.70999908447266,9.544099807739258
Capped 0.8 (Exp 5a) - 50ep,Capped 0.8 (Exp 5a),50ep,88.23999762535095,9.540999412536621
Swap 0.8 (Exp 5b) - 50ep,Swap 0.8 (Exp 5b),50ep,88.23999762535095,9.540999412536621
